sample_id,side,global_vertex_id,region_id,region_point_id,x,y,z,candidate_finite,quality_rank,repair_method,selected,distance_to_selected_mm
T076,L,0,T001,0,4.09921932220459,18.34006118774414,-9.520147323608398,True,-1,landmark_vertex,True,0.0
T076,L,0,T002,0,4.09921932220459,18.34006118774414,-9.520147323608398,True,0,mapped,False,0.0
T076,L,1,T001,1,5.121772745767909,18.025615672856382,-9.520147323608398,True,0,mapped,True,0.0
T076,L,1,T002,1,5.121772745767909,18.025615672856382,-9.520147323608398,True,0,mapped,False,0.0
T076,L,2,T001,2,6.096688984202463,17.60377869245472,-9.520147323608398,True,0,mapped,True,0.0
T076,L,2,T002,2,6.096688984202463,17.60377869245472,-9.520147323608398,True,0,mapped,False,0.0
T076,L,3,T001,3,7.017776630981286,17.081304406447124,-9.520147323608398,True,0,mapped,True,0.0
T076,L,3,T002,3,7.017776630981286,17.081304406447124,-9.520147323608398,True,0,mapped,False,0.0
T076,L,4,T001,4,7.861890516900592,16.423703137995638,-9.520147323608398,True,0,mapped,True,0.0
T076,L,4,T002,4,7.861890516900592,16.423703137995638,-9.520147323608398,True,0,mapped,False,0.0
T076,L,5,T001,5,8.513523752100777,15.596243029587876,-9.512537901853335,True,0,mapped,True,0.0
T076,L,5,T002,5,8.513523752100776,15.596243029587876,-9.512537901853335,True,0,mapped,False,1.7763568394002505e-15
T076,L,6,T001,6,9.182889788489447,14.827725314885743,-9.320147514343262,True,0,mapped,True,0.0
T076,L,6,T002,6,9.182889788489447,14.827725314885743,-9.320147514343262,True,0,mapped,False,0.0
T076,L,7,T001,7,9.491163029006852,13.802972642559784,-9.320147514343262,True,0,mapped,True,0.0
T076,L,7,T002,7,9.491163029006852,13.802972642559784,-9.320147514343262,True,0,mapped,False,0.0
T076,L,8,T001,8,9.710644162608968,12.820740313925707,-9.03556229330379,True,0,mapped,True,0.0
T076,L,8,T002,8,9.710644162608968,12.820740313925707,-9.03556229330379,True,0,mapped,False,0.0
T076,L,9,T001,9,9.915952583030656,11.95752868260204,-8.459478166655442,True,0,mapped,True,0.0
T076,L,9,T002,9,9.915952583030656,11.957528682602035,-8.45947816665544,True,0,mapped,False,5.617333549722722e-15
T076,L,10,T001,10,10.09921932220459,11.237142050262229,-7.791995590497543,True,0,mapped,True,0.0
T076,L,10,T002,10,10.09921932220459,11.237142050262223,-7.791995590497544,True,0,mapped,False,5.4025784115714076e-15
T076,L,11,T001,11,10.679998652267646,10.66848213539302,-7.1180729100549245,True,0,mapped,True,0.0
T076,L,11,T002,11,10.679998652267647,10.66848213539302,-7.1180729100549245,True,0,mapped,False,1.7763568394002505e-15
T076,L,12,T001,12,10.699219703674316,10.029210193249972,-6.265429699638805,True,0,mapped,True,0.0
T076,L,12,T002,12,10.699219703674318,10.029210193249972,-6.265429699638805,True,0,mapped,False,1.7763568394002505e-15
T076,L,13,T001,13,11.001667940286064,9.436098981521528,-5.512088591814229,True,0,mapped,True,0.0
T076,L,13,T002,13,11.001667940286064,9.436098981521528,-5.512088591814228,True,0,mapped,False,8.881784197001252e-16
T076,L,14,T001,14,11.299220085144045,8.868816288624746,-4.684029675649823,True,0,mapped,True,0.0
T076,L,14,T002,14,11.299220085144045,8.868816288624746,-4.684029675649823,True,0,mapped,False,0.0
T076,L,15,T001,15,11.494214769839049,8.37556982215918,-3.8097216406855594,True,0,mapped,True,0.0
