sample_id,side,global_vertex_id,region_id,region_point_id,x,y,z,candidate_finite,quality_rank,repair_method,selected,distance_to_selected_mm
T078,L,0,T001,0,-0.8728988766670227,19.407865524291992,-16.126977920532227,True,-1,landmark_vertex,True,0.0
T078,L,0,T002,0,-0.8728988766670227,19.407865524291992,-16.126977920532227,True,0,mapped,False,0.0
T078,L,1,T001,1,0.1368681604250994,19.193092063667716,-16.311534881591797,True,0,mapped,True,0.0
T078,L,1,T002,1,0.1368681604250994,19.193092063667716,-16.311534881591797,True,0,mapped,False,0.0
T078,L,2,T001,2,1.1298528571676694,18.807865142822266,-16.524911220438234,True,0,mapped,True,0.0
T078,L,2,T002,2,1.1298528571676694,18.807865142822266,-16.524911220438234,True,0,mapped,False,0.0
T078,L,3,T001,3,2.2030448038174724,18.48969213059724,-16.51153564453125,True,0,mapped,True,0.0
T078,L,3,T002,3,2.2030448038174724,18.48969213059724,-16.51153564453125,True,0,mapped,False,0.0
T078,L,4,T001,4,3.231795185357,18.042535684917382,-16.51153564453125,True,0,mapped,True,0.0
T078,L,4,T002,4,3.231795185357,18.042535684917382,-16.51153564453125,True,0,mapped,False,0.0
T078,L,5,T001,5,4.197904334887762,17.483176451671433,-16.51153564453125,True,0,mapped,True,0.0
T078,L,5,T002,5,4.197904334887761,17.483176451671433,-16.51153564453125,True,0,mapped,False,8.881784197001252e-16
T078,L,6,T001,6,4.992874716914049,16.69326346161222,-16.51153564453125,True,0,mapped,True,0.0
T078,L,6,T002,6,4.992874716914049,16.69326346161222,-16.51153564453125,True,0,mapped,False,0.0
T078,L,7,T001,7,5.674886277689372,15.845848055951524,-16.439145256893998,True,0,mapped,True,0.0
T078,L,7,T002,7,5.674886277689372,15.845848055951526,-16.439145256893998,True,0,mapped,False,1.7763568394002505e-15
T078,L,8,T001,8,6.295028022496388,15.1063639265256,-16.084050707519186,True,0,mapped,True,0.0
T078,L,8,T002,8,6.295028022496387,15.1063639265256,-16.084050707519182,True,0,mapped,False,3.66205343881779e-15
T078,L,9,T001,9,7.026860143313767,14.607866287231444,-15.520741273554608,True,0,mapped,True,0.0
T078,L,9,T002,9,7.026860143313767,14.607866287231444,-15.520741273554608,True,0,mapped,False,0.0
T078,L,10,T001,10,7.636833959857034,13.959616814571962,-14.979932811561897,True,0,mapped,True,0.0
T078,L,10,T002,10,7.636833959857034,13.959616814571962,-14.979932811561897,True,0,mapped,False,0.0
T078,L,11,T001,11,8.127100944519043,13.268514009154002,-14.373985355894929,True,0,mapped,True,0.0
