sample_id,side,global_vertex_id,chosen_region_id,chosen_region_point_id,chosen_quality_rank,chosen_repair_method,x,y,z,member_count,max_candidate_distance_mm,mean_candidate_distance_mm,topology_role
T013,L,0,T001,0,-1,landmark_vertex,-22.067997765351304,40.227763276494215,-34.27205074620419,2,0.0,0.0,landmark
T013,L,1,T002,1,0,mapped,-20.843477171838007,40.22646797781618,-34.27205946162385,2,0.2089693091238234,0.1044846545619117,shared_edge
T013,L,2,T001,2,0,mapped,-19.62369940609984,40.112157070007584,-34.2720681170035,2,0.0,0.0,shared_edge
T013,L,3,T001,3,0,mapped,-18.45655711116048,39.80436520037692,-34.27207635274711,2,0.0,0.0,shared_edge
T013,L,4,T001,4,0,mapped,-17.412067616576678,39.17475148339383,-34.27208364064905,2,3.552713678800501e-15,1.7763568394002505e-15,shared_edge
T013,L,5,T001,5,0,mapped,-16.45657125401245,38.49331654943272,-34.05222063427355,2,0.0,0.0,shared_edge
T013,L,6,T001,6,0,mapped,-15.48783398063769,38.013877214165625,-33.59719376263365,2,7.105427357601002e-15,3.552713678800501e-15,shared_edge
T013,L,7,T001,7,0,mapped,-14.672963064199044,37.38729963586659,-33.15569677770915,2,0.0,0.0,shared_edge
T013,L,8,T001,8,0,mapped,-14.130734059991173,36.498328733451444,-32.60833755559004,2,1.5888218580782548e-14,7.944109290391274e-15,shared_edge
T013,L,9,T001,9,0,mapped,-13.67327076515826,35.72466567064315,-31.94487431014779,2,7.105427357601002e-15,3.552713678800501e-15,shared_edge
T013,L,10,T001,10,0,mapped,-13.279007786425558,35.09612869041954,-31.052923650297352,2,0.0,0.0,shared_edge
T013,L,11,T001,11,0,mapped,-12.901674632786932,34.41534023248974,-30.180415272293992,2,0.0,0.0,shared_edge
T013,L,12,T001,12,0,mapped,-12.501672070982892,33.85628456272949,-29.237325092697013,2,0.0,0.0,shared_edge
T013,L,13,T001,13,0,mapped,-12.257760686308465,33.30586469451207,-28.20225611455507,2,0.0,0.0,shared_edge
T013,L,14,T001,14,0,mapped,-11.898757850363026,32.80586809174518,-27.221888582317263,2,0.0,0.0,shared_edge
T013,L,15,T001,15,0,mapped,-11.728437530416212,32.33850398855987,-26.131502752090555,2,0.0,0.0,shared_edge
T013,L,16,T001,16,0,mapped,-11.29889909024677,31.771015739019823,-25.26571494806874,2,0.0,0.0,shared_edge
T013,L,17,T001,17,0,mapped,-11.081536078222173,31.191494947231856,-24.240515340412557,2,0.0,0.0,shared_edge
T013,L,18,T001,18,0,mapped,-10.701654368956374,30.38942637147638,-23.49303204203887,2,0.0,0.0,shared_edge
T013,L,19,T001,19,0,mapped,-10.701651172374287,29.753964407990228,-22.44197318350401,2,0.0,0.0,shared_edge
T013,L,20,T001,20,0,mapped,-10.70164914672279,29.026720170585943,-21.46848253811146,2,0.0,0.0,shared_edge
T013,L,21,T001,21,0,mapped,-10.706535707432751,28.27182525762606,-20.518692573519104,2,0.0,0.0,shared_edge
T013,L,22,T001,22,0,mapped,-10.701645936295133,27.495282001230937,-19.566748566880165,2,0.0,0.0,shared_edge
T013,L,23,T002,23,0,mapped,-10.701643405917673,26.802768875586448,-18.55524580154625,2,0.2157067624862209,0.1078533812431104,shared_edge
T013,L,24,T001,24,-1,landmark_vertex,-10.679252069468985,26.227688489827138,-17.472129314168036,3,0.0,0.0,landmark
T013,L,25,T001,25,2,smooth_near_vertex,-20.81015926062038,40.212522973815936,-34.25894003135301,1,0.0,0.0,interior
T013,L,26,T001,26,0,mapped,-20.04989846098433,40.20517214356697,-34.25735955536209,1,0.0,0.0,interior
T013,L,27,T001,27,0,mapped,-18.80659169623393,40.06481095934065,-34.190059716577274,1,0.0,0.0,interior
T013,L,28,T001,28,0,mapped,-17.717983795605015,39.620158188853985,-34.101154831543454,1,0.0,0.0,interior
T013,L,29,T001,29,0,mapped,-16.752066630482258,38.94294925421835,-34.03388515803379,1,0.0,0.0,interior
T013,L,30,T001,30,0,mapped,-15.697590716926339,38.40348373082205,-33.67756986360731,1,0.0,0.0,interior
T013,L,31,T001,31,0,mapped,-14.811297544153314,37.88731564459121,-33.2179127228981,1,0.0,0.0,interior
T013,L,32,T001,32,0,mapped,-14.171818717568836,37.20195366485154,-32.76246018108132,1,0.0,0.0,interior
T013,L,33,T001,33,0,mapped,-13.486792967296317,36.329892874204006,-32.108356373925126,1,0.0,0.0,interior
T013,L,34,T001,34,0,mapped,-13.166987953798065,35.622930819195695,-31.439384891943384,1,0.0,0.0,interior
T013,L,35,T001,35,0,mapped,-12.704723734597705,34.90585633188671,-30.564176262849486,1,0.0,0.0,interior
T013,L,36,T001,36,0,mapped,-12.297631818492468,34.2785009120906,-29.753840866081994,1,0.0,0.0,interior
T013,L,37,T001,37,0,mapped,-12.0567627371575,33.577306658283945,-28.748920929329927,1,0.0,0.0,interior
T013,L,38,T001,38,0,mapped,-11.65246029376998,33.02729077067158,-27.795052990650483,1,0.0,0.0,interior
T013,L,39,T001,39,0,mapped,-11.488804286441738,32.483766295179585,-26.695601745084915,1,0.0,0.0,interior
T013,L,40,T001,40,0,mapped,-11.227831009858086,31.980503007115797,-25.80140768275865,1,0.0,0.0,interior
T013,L,41,T001,41,0,mapped,-10.848996796191324,31.327209418611154,-24.922325016208205,1,0.0,0.0,interior
T013,L,42,T001,42,0,mapped,-10.661075375369771,30.64820853892824,-23.953534039208435,1,0.0,0.0,interior
T013,L,43,T001,43,0,mapped,-10.56571590699769,29.95530200464634,-23.05226012892866,1,0.0,0.0,interior
T013,L,44,T001,44,0,mapped,-10.54251896788816,29.250036658219077,-22.08344049238768,1,0.0,0.0,interior
T013,L,45,T001,45,0,mapped,-10.55991724941878,28.569203430602858,-21.15176856749143,1,0.0,0.0,interior
T013,L,46,T001,46,0,mapped,-10.502212482573137,27.785336970567815,-20.17543275090506,1,0.0,0.0,interior
T013,L,47,T001,47,0,mapped,-10.630422184736483,27.143894199345723,-19.18603735985355,1,0.0,0.0,interior
T013,L,48,T001,48,2,smooth_near_vertex,-10.62088874487529,26.866397096901746,-18.660439064438187,1,0.0,0.0,interior
T013,L,49,T001,49,0,mapped,-20.484802092881917,40.22775260923136,-34.24124521136507,1,0.0,0.0,interior
T013,L,50,T001,50,0,mapped,-19.267377535055335,40.157255540225236,-34.17075488964709,1,0.0,0.0,interior
T013,L,51,T001,51,0,mapped,-18.119361704392936,39.85560383167218,-34.0735014449464,1,0.0,0.0,interior
T013,L,52,T001,52,0,mapped,-17.099467946096762,39.383532054537845,-33.980150251844385,1,0.0,0.0,interior
T013,L,53,T001,53,0,mapped,-15.96576308922137,38.874121221765286,-33.70738402012236,1,0.0,0.0,interior
T013,L,54,T001,54,0,mapped,-15.067619620888989,38.3476399092122,-33.26831234389956,1,0.0,0.0,interior
T013,L,55,T001,55,0,mapped,-14.271302598613419,37.791268433384126,-32.855679675013754,1,0.0,0.0,interior
T013,L,56,T001,56,0,mapped,-13.50400011316023,36.90624359960634,-32.29666213997448,1,0.0,0.0,interior
T013,L,57,T001,57,0,mapped,-13.055717874650526,36.12700020056678,-31.682263254348385,1,0.0,0.0,interior
T013,L,58,T001,58,0,mapped,-12.618478014474364,35.49603492307984,-30.97162193342318,1,0.0,0.0,interior
T013,L,59,T001,59,0,mapped,-12.220464925616415,34.687722826667994,-30.138216494003714,1,0.0,0.0,interior
T013,L,60,T001,60,0,mapped,-11.71858589398322,33.990719167310516,-29.27535559991061,1,0.0,0.0,interior
T013,L,61,T001,61,0,mapped,-11.425582016400595,33.31171130884863,-28.276803181628843,1,0.0,0.0,interior
T013,L,62,T001,62,0,mapped,-11.160724704333191,32.7542724599351,-27.310730577799205,1,0.0,0.0,interior
T013,L,63,T001,63,0,mapped,-11.02144708424837,32.21426797601803,-26.36384132799308,1,0.0,0.0,interior
T013,L,64,T001,64,0,mapped,-10.676878265158953,31.559750671692658,-25.4803841658901,1,0.0,0.0,interior
T013,L,65,T001,65,0,mapped,-10.490485593638107,30.91991987912719,-24.52507846680591,1,0.0,0.0,interior
T013,L,66,T001,66,0,mapped,-10.367925428771056,30.274193278547777,-23.683363207460495,1,0.0,0.0,interior
T013,L,67,T001,67,0,mapped,-10.38686382628073,29.532391987368992,-22.658184796687962,1,0.0,0.0,interior
T013,L,68,T001,68,0,mapped,-10.401123943310841,28.779890280568296,-21.671732977918417,1,0.0,0.0,interior
T013,L,69,T001,69,0,mapped,-10.426611905308985,28.101077466784496,-20.703755243075257,1,0.0,0.0,interior
T013,L,70,T001,70,0,mapped,-10.366528710751926,27.444935480152182,-19.812178061818777,1,0.0,0.0,interior
T013,L,71,T001,71,2,smooth_near_vertex,-10.515828491451712,27.16069025160775,-19.262251007396173,1,0.0,0.0,interior
T013,L,72,T001,72,0,mapped,-19.695600957000664,40.22774730573782,-34.16574591522276,1,0.0,0.0,interior
T013,L,73,T001,73,0,mapped,-18.491274589904286,40.096416284985104,-34.02034310766527,1,0.0,0.0,interior
T013,L,74,T001,74,0,mapped,-17.40720848276159,39.71529805660949,-33.91735507636565,1,0.0,0.0,interior
T013,L,75,T001,75,0,mapped,-16.350358094570037,39.257515677373014,-33.73370997659321,1,0.0,0.0,interior
T013,L,76,T001,76,0,mapped,-15.366483130657276,38.81632026763955,-33.30960393598093,1,0.0,0.0,interior
T013,L,77,T001,77,0,mapped,-14.419722476582539,38.21939455719718,-32.92924598593348,1,0.0,0.0,interior
T013,L,78,T001,78,0,mapped,-13.681567681066149,37.59409311219875,-32.50856692144518,1,0.0,0.0,interior
T013,L,79,T001,79,0,mapped,-13.006969456432753,36.65277957699616,-31.8469172089167,1,0.0,0.0,interior
T013,L,80,T001,80,0,mapped,-12.55464451961025,36.0047210514284,-31.195251600159622,1,0.0,0.0,interior
T013,L,81,T001,81,0,mapped,-12.09429314223238,35.22843790705361,-30.498478260220182,1,0.0,0.0,interior
T013,L,82,T001,82,0,mapped,-11.712731830995079,34.45247903389653,-29.681898995550647,1,0.0,0.0,interior
T013,L,83,T001,83,0,mapped,-11.250912502135291,33.69916159526504,-28.809799593237642,1,0.0,0.0,interior
T013,L,84,T001,84,0,mapped,-10.875424607441142,33.21191967920726,-27.894648929965562,1,0.0,0.0,interior
T013,L,85,T001,85,0,mapped,-10.70962483336634,32.56427690897177,-26.89516962220162,1,0.0,0.0,interior
T013,L,86,T001,86,0,mapped,-10.452927138582112,31.88369951621058,-25.879508178907635,1,0.0,0.0,interior
T013,L,87,T001,87,0,mapped,-10.269470793507178,31.20135267203551,-25.018223149157514,1,0.0,0.0,interior
T013,L,88,T001,88,0,mapped,-10.161298162095747,30.549640004511705,-24.18984475251606,1,0.0,0.0,interior
T013,L,89,T001,89,0,mapped,-10.160462492154661,29.861068764153895,-23.31184978045355,1,0.0,0.0,interior
T013,L,90,T001,90,0,mapped,-10.200683864015595,29.136702776027047,-22.338663155260512,1,0.0,0.0,interior
T013,L,91,T001,91,0,mapped,-10.251863380251205,28.44629562321957,-21.394424253718803,1,0.0,0.0,interior
T013,L,92,T001,92,0,mapped,-10.166511473081954,27.695952510910328,-20.40669518167006,1,0.0,0.0,interior
T013,L,93,T001,93,0,mapped,-10.445474325443152,27.187534230031353,-19.39034954347418,1,0.0,0.0,interior
T013,L,94,T001,94,0,mapped,-18.911636701736015,40.2277011535749,-34.034316254338684,1,0.0,0.0,interior
T013,L,95,T001,95,0,mapped,-17.754102368396005,39.984116627796034,-33.861166817520306,1,0.0,0.0,interior
T013,L,96,T001,96,0,mapped,-16.739886816599697,39.58257084403455,-33.67030846819945,1,0.0,0.0,interior
T013,L,97,T001,97,0,mapped,-15.644614690237082,39.186323550208805,-33.334306030708554,1,0.0,0.0,interior
T013,L,98,T001,98,0,mapped,-14.683549303426641,38.71714292610343,-32.9531497989721,1,0.0,0.0,interior
