sample_id,side,global_vertex_id,chosen_region_id,chosen_region_point_id,chosen_quality_rank,chosen_repair_method,x,y,z,member_count,max_candidate_distance_mm,mean_candidate_distance_mm,topology_role
T088,L,0,T001,0,-1,landmark_vertex,-18.810850568181436,41.99581741909091,-31.766833395766174,2,0.0,0.0,landmark
T088,L,1,T001,1,0,mapped,-17.739090437653847,41.75755920612367,-31.693948262197203,2,0.0,0.0,shared_edge
T088,L,2,T001,2,0,mapped,-16.746917368548075,41.36393297837689,-31.721718738585633,2,0.0,0.0,shared_edge
T088,L,3,T001,3,0,mapped,-15.729948361482936,40.905881807780716,-31.59896356701874,2,0.0,0.0,shared_edge
T088,L,4,T001,4,0,mapped,-14.822369404188919,40.25177157236405,-31.55523098507062,2,0.0,0.0,shared_edge
T088,L,5,T001,5,0,mapped,-14.096981751907819,39.415027882728786,-31.53903499275921,2,3.552713678800501e-15,1.7763568394002505e-15,shared_edge
T088,L,6,T001,6,0,mapped,-13.412747791141388,38.64330206000109,-31.313495533326858,2,0.0,0.0,shared_edge
T088,L,7,T001,7,0,mapped,-12.812293487163707,37.88912237718425,-30.940620316130545,2,0.0,0.0,shared_edge
T088,L,8,T001,8,0,mapped,-12.494283174000984,36.832073036959464,-30.75789514313467,2,0.0,0.0,shared_edge
T088,L,9,T001,9,0,mapped,-12.271892424166072,35.87224775106186,-30.37413216321187,2,0.0,0.0,shared_edge
T088,L,10,T001,10,0,mapped,-12.01749160091682,35.12878910730771,-29.76462477299033,2,0.0,0.0,shared_edge
T088,L,11,T001,11,0,mapped,-11.697406817029451,34.46694061683331,-29.040812562767375,2,0.0,0.0,shared_edge
T088,L,12,T001,12,0,mapped,-11.500975540986532,33.71195380788474,-28.245289246835668,2,0.0,0.0,shared_edge
T088,L,13,T001,13,0,mapped,-11.461422195059875,32.98041419831235,-27.45889040986579,2,3.552713678800501e-15,1.7763568394002505e-15,shared_edge
T088,L,14,T001,14,0,mapped,-11.09385326881692,32.42289411026986,-26.60646114932236,2,0.0,0.0,shared_edge
T088,L,15,T001,15,0,mapped,-10.99085451462355,31.78940103189956,-25.7874921822253,2,0.0,0.0,shared_edge
T088,L,16,T001,16,0,mapped,-10.769404929193364,31.172670949311783,-24.94039473624909,2,0.0,0.0,shared_edge
T088,L,17,T001,17,0,mapped,-10.582809238212965,30.5777348310933,-24.08041055311003,2,0.0,0.0,shared_edge
T088,L,18,T001,18,0,mapped,-10.698613132190804,29.949944529154063,-23.23796791985491,2,3.972054645195637e-15,1.9860273225978185e-15,shared_edge
T088,L,19,T001,19,0,mapped,-10.815287113191367,29.373730057177653,-22.30722214353832,2,1.7763568394002505e-15,8.881784197001252e-16,shared_edge
T088,L,20,T001,20,0,mapped,-10.741936567312509,28.662424640596385,-21.466127901769976,2,0.0,0.0,shared_edge
T088,L,21,T001,21,0,mapped,-10.6714293573565,27.91979345192685,-20.65189342448508,2,0.0,0.0,shared_edge
T088,L,22,T001,22,0,mapped,-10.976213167510883,27.319583115115325,-19.75247797700785,2,0.0,0.0,shared_edge
T088,L,23,T001,23,0,mapped,-11.245607147990043,26.750157541034877,-18.85087464122073,2,0.0,0.0,shared_edge
T088,L,24,T001,24,-1,landmark_vertex,-11.547266845361229,26.313899607332104,-17.892000909615515,3,0.0,0.0,landmark
T088,L,25,T001,25,2,smooth_near_vertex,-17.749417689519642,41.78486136149189,-31.618192698656603,1,0.0,0.0,interior
T088,L,26,T001,26,0,mapped,-17.021514956422887,41.60889246223841,-31.5413053779373,1,0.0,0.0,interior
T088,L,27,T001,27,0,mapped,-16.101757349235623,41.226516249926746,-31.43366901722545,1,0.0,0.0,interior
T088,L,28,T001,28,0,mapped,-15.142894171163025,40.61280982046141,-31.452169035420653,1,0.0,0.0,interior
T088,L,29,T001,29,0,mapped,-14.27603672180442,39.86343893157612,-31.39299101907616,1,0.0,0.0,interior
T088,L,30,T001,30,0,mapped,-13.522549593205362,39.0297872061149,-31.173235392313025,1,0.0,0.0,interior
T088,L,31,T001,31,0,mapped,-12.899955927746415,38.34749256027743,-30.824667884708116,1,0.0,0.0,interior
T088,L,32,T001,32,0,mapped,-12.52906054600814,37.3952417934796,-30.714985668150913,1,0.0,0.0,interior
T088,L,33,T001,33,0,mapped,-12.10017592935847,36.37822030336329,-30.28351397563387,1,0.0,0.0,interior
T088,L,34,T001,34,0,mapped,-11.883647909176009,35.49186417493963,-29.791256098011754,1,0.0,0.0,interior
T088,L,35,T001,35,0,mapped,-11.63432498930397,34.82957170261826,-29.201832116384058,1,0.0,0.0,interior
T088,L,36,T001,36,0,mapped,-11.408954018505966,34.10107540358433,-28.47997163897421,1,0.0,0.0,interior
T088,L,37,T001,37,0,mapped,-11.2634843346593,33.32258928932692,-27.694446415695214,1,0.0,0.0,interior
T088,L,38,T001,38,0,mapped,-10.970042183388204,32.766999814786985,-26.91951625898513,1,0.0,0.0,interior
T088,L,39,T001,39,0,mapped,-10.699283955053128,32.14382105140728,-26.102606523386314,1,0.0,0.0,interior
T088,L,40,T001,40,0,mapped,-10.72919865935363,31.451893708380688,-25.28414938537987,1,0.0,0.0,interior
T088,L,41,T001,41,0,mapped,-10.413646553875516,30.824609761785645,-24.39231583436689,1,0.0,0.0,interior
T088,L,42,T001,42,0,mapped,-10.524159413442156,30.18744035645621,-23.596093848343514,1,0.0,0.0,interior
T088,L,43,T001,43,0,mapped,-10.524405592242966,29.570492592377978,-22.720166117947613,1,0.0,0.0,interior
T088,L,44,T001,44,0,mapped,-10.640844536384702,28.904363670072488,-21.81151527623809,1,0.0,0.0,interior
T088,L,45,T001,45,0,mapped,-10.57816714399181,28.19272883308616,-21.021080317550577,1,0.0,0.0,interior
T088,L,46,T001,46,0,mapped,-10.716305851649084,27.46795112213053,-20.189547113114678,1,0.0,0.0,interior
T088,L,47,T001,47,0,mapped,-11.10906158524143,26.97530761199976,-19.277792074219157,1,0.0,0.0,interior
T088,L,48,T001,48,2,smooth_near_vertex,-11.242494857934245,26.74056479179751,-18.825001505416544,1,0.0,0.0,interior
T088,L,49,T001,49,0,mapped,-17.426214795820403,41.777176358514566,-31.470683758725734,1,0.0,0.0,interior
T088,L,50,T001,50,0,mapped,-16.423452730983215,41.41554099561428,-31.455741289127314,1,0.0,0.0,interior
T088,L,51,T001,51,0,mapped,-15.403992995615571,40.921558667920905,-31.296030269401438,1,0.0,0.0,interior
T088,L,52,T001,52,0,mapped,-14.554315016493856,40.31854033477188,-31.224499459969696,1,0.0,0.0,interior
T088,L,53,T001,53,0,mapped,-13.740781096786346,39.46589092812926,-31.07622684247431,1,0.0,0.0,interior
T088,L,54,T001,54,0,mapped,-13.055459415705648,38.740940517873696,-30.777456651318087,1,0.0,0.0,interior
T088,L,55,T001,55,0,mapped,-12.56152674994794,37.9314010703583,-30.595294520116234,1,0.0,0.0,interior
T088,L,56,T001,56,0,mapped,-12.152997882024913,36.95122070185475,-30.32820689957582,1,0.0,0.0,interior
T088,L,57,T001,57,0,mapped,-11.843092558531767,35.92579270622102,-29.875847220842687,1,0.0,0.0,interior
T088,L,58,T001,58,0,mapped,-11.487431068099832,35.31129449184132,-29.255869102846624,1,0.0,0.0,interior
T088,L,59,T001,59,0,mapped,-11.313881399840465,34.44867117084665,-28.629603225779352,1,0.0,0.0,interior
T088,L,60,T001,60,0,mapped,-11.141189811227987,33.664027861307304,-27.889545299800126,1,0.0,0.0,interior
T088,L,61,T001,61,0,mapped,-10.914734982819374,33.00572990135081,-27.106200955972586,1,0.0,0.0,interior
T088,L,62,T001,62,0,mapped,-10.541815706254985,32.49385847556762,-26.378338527962818,1,0.0,0.0,interior
T088,L,63,T001,63,0,mapped,-10.552789628877987,31.76885260035989,-25.588590732354835,1,0.0,0.0,interior
T088,L,64,T001,64,0,mapped,-10.380003153505964,31.07311454794176,-24.681279127704023,1,0.0,0.0,interior
T088,L,65,T001,65,0,mapped,-10.265877267232494,30.479318621175622,-23.91814363297548,1,0.0,0.0,interior
T088,L,66,T001,66,0,mapped,-10.368079911046632,29.81889784428381,-23.099921014528995,1,0.0,0.0,interior
T088,L,67,T001,67,0,mapped,-10.41980196723364,29.141464519936374,-22.22332176588992,1,0.0,0.0,interior
T088,L,68,T001,68,0,mapped,-10.486058254748237,28.472366749436606,-21.402529533202053,1,0.0,0.0,interior
T088,L,69,T001,69,0,mapped,-10.500930275988194,27.72655516044165,-20.613074358266623,1,0.0,0.0,interior
T088,L,70,T001,70,0,mapped,-10.872534131620554,27.156196882515196,-19.74217380083908,1,0.0,0.0,interior
T088,L,71,T001,71,2,smooth_near_vertex,-11.068043853144276,26.922894406823293,-19.279338396610772,1,0.0,0.0,interior
T088,L,72,T001,72,0,mapped,-16.742394997141567,41.65600912716029,-31.290866712726274,1,0.0,0.0,interior
T088,L,73,T001,73,0,mapped,-15.763491537090815,41.15608480607959,-31.260362928660108,1,0.0,0.0,interior
T088,L,74,T001,74,0,mapped,-14.833658349554035,40.59766176858326,-31.166116371973093,1,0.0,0.0,interior
T088,L,75,T001,75,0,mapped,-14.001960249785483,39.91287777034121,-30.97185743441367,1,0.0,0.0,interior
T088,L,76,T001,76,0,mapped,-13.254927443867853,39.16723580640491,-30.747346753547962,1,0.0,0.0,interior
T088,L,77,T001,77,0,mapped,-12.64578354675459,38.38438431205877,-30.429115732035207,1,0.0,0.0,interior
T088,L,78,T001,78,0,mapped,-12.199508470938838,37.5038408814645,-30.247890276505174,1,0.0,0.0,interior
T088,L,79,T001,79,0,mapped,-11.849975756242312,36.51237730159782,-29.961616150346362,1,0.0,0.0,interior
T088,L,80,T001,80,0,mapped,-11.46641467303012,35.65117690948959,-29.321711077262734,1,0.0,0.0,interior
T088,L,81,T001,81,0,mapped,-11.242886320952717,34.83772996897648,-28.78318849423607,1,0.0,0.0,interior
T088,L,82,T001,82,0,mapped,-10.976146333967755,34.089714424996146,-28.042413004744454,1,0.0,0.0,interior
T088,L,83,T001,83,0,mapped,-10.855274448921815,33.425117821835265,-27.441683294396647,1,0.0,0.0,interior
T088,L,84,T001,84,0,mapped,-10.510966381498067,32.71713074902407,-26.582816583448853,1,0.0,0.0,interior
T088,L,85,T001,85,0,mapped,-10.377889432360535,32.06551120080313,-25.855180393208745,1,0.0,0.0,interior
T088,L,86,T001,86,0,mapped,-10.230288866820894,31.392243150869195,-25.010609091943138,1,0.0,0.0,interior
T088,L,87,T001,87,0,mapped,-10.119582795348412,30.708824183136713,-24.15270825935416,1,0.0,0.0,interior
T088,L,88,T001,88,0,mapped,-10.216107233568058,30.075626729908315,-23.43697430542199,1,0.0,0.0,interior
T088,L,89,T001,89,0,mapped,-10.225197478996247,29.457407576704256,-22.645464785494347,1,0.0,0.0,interior
T088,L,90,T001,90,0,mapped,-10.27681952487212,28.68260604791347,-21.74386119647333,1,0.0,0.0,interior
T088,L,91,T001,91,0,mapped,-10.345362777882352,27.954476022386366,-20.95850640475696,1,0.0,0.0,interior
T088,L,92,T001,92,0,mapped,-10.586768073263643,27.262487454885584,-20.12712710703871,1,0.0,0.0,interior
T088,L,93,T001,93,0,mapped,-11.048084837780868,26.819508340980693,-19.272386205968303,1,0.0,0.0,interior
T088,L,94,T001,94,0,mapped,-16.09325980449075,41.4743195470155,-31.05845256297745,1,0.0,0.0,interior
T088,L,95,T001,95,0,mapped,-15.126647726069667,40.906415299788065,-31.054619553581297,1,0.0,0.0,interior
T088,L,96,T001,96,0,mapped,-14.256154238526314,40.273128636611936,-30.901424047559168,1,0.0,0.0,interior
T088,L,97,T001,97,0,mapped,-13.434717080749294,39.53755957403419,-30.671054258201934,1,0.0,0.0,interior
T088,L,98,T001,98,0,mapped,-12.7491748125845,38.82666875220143,-30.275729612717555,1,0.0,0.0,interior
T088,L,99,T001,99,0,mapped,-12.257567382133344,37.953130114652126,-30.126072879053893,1,0.0,0.0,interior
T088,L,100,T001,100,0,mapped,-11.885383456951018,36.992744490561876,-29.89559191577114,1,0.0,0.0,interior
T088,L,101,T001,101,0,mapped,-11.522751750288872,36.05822502844262,-29.464931792759728,1,0.0,0.0,interior
T088,L,102,T001,102,0,mapped,-11.134873766171916,35.29696972565912,-28.798778076046222,1,0.0,0.0,interior
T088,L,103,T001,103,0,mapped,-10.891935762284474,34.52105217589743,-28.200613363077352,1,0.0,0.0,interior
T088,L,104,T001,104,0,mapped,-10.687848317725328,33.76297314426087,-27.502882526642306,1,0.0,0.0,interior
T088,L,105,T001,105,0,mapped,-10.526120071107274,33.05583132337574,-26.874944537732695,1,0.0,0.0,interior
T088,L,106,T001,106,0,mapped,-10.239862467972042,32.39726221475043,-26.07364751337831,1,0.0,0.0,interior
T088,L,107,T001,107,0,mapped,-10.103954436847994,31.72741961181144,-25.304865429245872,1,0.0,0.0,interior
