landmark_id,x,y,z,confidence,annotator,comment
L02,-0.9047,-19.9251,20.3011,1.0,simulated,
L07,13.7024,16.2208,1.3765,1.0,simulated,
L10,-7.281,-2.9505,11.866,1.0,simulated,
L13,-14.7557,23.8074,3.8429,1.0,simulated,
L15,15.3756,8.9432,0.7491,1.0,simulated,
L19,-14.182,35.8543,3.6465,1.0,simulated,
L20,12.1804,35.9855,4.416,1.0,simulated,
L21,-3.6724,35.8812,12.5708,1.0,simulated,
L26,-0.1433,37.599,15.1897,1.0,simulated,
L28,-3.7679,14.8081,7.2975,1.0,simulated,
L29,-3.7775,24.0727,8.269,1.0,simulated,
L30,-3.8591,11.8185,7.1335,1.0,simulated,
L31,3.4027,-6.0754,10.8242,1.0,simulated,
