L7, 20.890321, 7.691635, -5.717484
L31, 16.493263, 1.010651, 0.056915
L19, 19.235674, -15.513194, 6.249073
L21, 17.869566, -21.562579, 12.023728
L20, 10.618978, -16.512038, 7.410295
L18, 1.229776, -9.963765, 1.056915
L10, 8.891959, -0.841068, -1.686047
L13, 18.263865, -6.258455, 7.056915
L30, 23.311044, -11.185392, 17.833086
L29, 20.608774, -16.108587, 16.536334
L28, 20.469849, -9.662472, 13.158300
L15, 1.311101, -7.897922, 13.056915
L26, 17.495444, -35.820742, 17.902824
Pt14, 22.647879, -50.312290, 18.078131
