landmark_id,x,y,z,confidence,annotator,comment
L02,-0.6198,-19.9103,20.0463,1.0,simulated,
L07,14.2727,16.1435,0.6945,1.0,simulated,
L10,-6.876,-3.066,11.3321,1.0,simulated,
L13,-14.4643,24.0141,3.1868,1.0,simulated,
L15,15.9314,8.8105,0.0949,1.0,simulated,
L19,-13.9674,35.8681,3.0348,1.0,simulated,
L20,12.3174,35.9039,3.8803,1.0,simulated,
L21,-3.4181,35.966,11.9058,1.0,simulated,
L26,0.1234,37.789,14.7233,1.0,simulated,
L28,-3.4422,15.0188,7.0951,1.0,simulated,
L29,-3.3802,24.0648,7.9043,1.0,simulated,
L30,-3.3691,11.9599,6.5499,1.0,simulated,
L31,3.6591,-6.1571,10.243,1.0,simulated,
