sample_id,side,region_id,region_name,lm_a,lm_b,lm_c,edge_ab,edge_bc,edge_ca,perimeter,triangle_area,angle_a_deg,angle_b_deg,angle_c_deg,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,snap_distance_a,snap_distance_b,snap_distance_c,snap_distance_mean,snap_distance_max
T077,L,T001,test,L2,L7,L31,14.766116193108939,9.864752915041562,18.432264770821977,43.06313387897248,72.57620981777738,32.229336517731234,94.80377628669467,52.966887195574074,15.294745999999998,7.9666630000000005,-4.746814666666666,-0.1668552487185374,-0.5795906137289343,-0.797642806306427,0.05757377523892265,0.0642409356826593,0.02630278056373417,0.049372497161772035,0.0642409356826593
T077,L,T002,test,L2,L10,L31,17.461963213998878,8.015397824738395,18.432264770821977,43.909625809559245,69.59476269324443,25.623073413487468,83.96752028563473,70.40940630087779,11.295291999999998,5.122428666666667,-3.4030023333333332,-0.2925536282774532,0.371580062958692,0.8811019415444007,0.05757377523892265,0.07633969078108206,0.02630278056373417,0.053405415527912954,0.07633969078108206
T077,L,T003,test,L10,L13,L17,13.914743566233946,9.92416320546856,12.704144164382779,36.54305093608528,60.82336282435654,43.48342885061225,61.75227737520235,74.76429377418542,12.010114333333334,-4.175550666666666,5.177437,-0.1980051754578633,-0.9140076667110543,-0.3540959413567388,0.07633969078108206,6.242873176179054e-07,0.0776304843553135,0.05132359980790439,0.0776304843553135
T077,L,T004,test,L10,L13,L31,13.914743566233946,10.245727572097552,8.015397824738395,32.175868963069895,40.60622014450173,46.73172402220172,34.725497960392744,98.54277801740555,14.549695666666665,-2.0296239999999997,1.809261,-0.31561431279196117,0.6171842124003124,0.7207435421317796,0.07633969078108206,6.242873176179054e-07,0.02630278056373417,0.034214365210711285,0.07633969078108206
T077,L,T005,test,L10,L17,L18,12.704144164382779,12.724605763454088,12.225239850928979,37.65398977876585,68.14703887543943,61.348777499233115,57.470619560266165,61.180602940500734,6.332084666666667,-5.410654,3.177437,0.7007030092856121,-0.6656914277612839,-0.2566519350856933,0.07633969078108206,0.0776304843553135,2.1987796330764615e-07,0.05132346500478629,0.0776304843553135
T077,L,T006,test,L13,L17,L28,9.92416320546856,12.703187002284032,7.326704311132667,29.954054518885258,36.28285698632831,93.62770336553682,35.14204198365523,51.23025465080796,15.869411,-7.116018666666666,10.125552666666668,0.2155302445088506,0.883841010148804,0.41517680869853124,6.242873176179054e-07,0.0776304843553135,0.12231464887591514,0.06664858583951543,0.12231464887591514
T077,L,T007,test,L13,L19,L28,9.340621788059186,9.137371262537055,7.326704311132667,25.804697361728905,31.059425290704958,65.18845524830994,46.7042783750999,68.10726637659015,19.32312933333333,-10.478040333333333,8.821429333333333,-0.9532796093389171,-0.1241405355993626,0.2754035472533805,6.242873176179054e-07,0.05980271714471196,0.12231464887591514,0.06070599676931491,0.12231464887591514
T077,L,T008,test,L15,L18,L20,12.176794367002918,13.092075118319977,13.882502877110632,39.15137236243353,73.118604907066,59.89204086063014,66.53602973794796,53.57192940142191,4.386618333333334,-11.457908333333334,7.174708333333332,-0.6270932118842841,-0.7669302191559029,0.13627964834901476,0.0660712418470857,2.1987796330764615e-07,0.06581058912447017,0.043960683616506395,0.0660712418470857
T077,L,T009,test,L17,L18,L29,12.724605763454088,25.552236956345897,17.100453814816436,55.37729653461642,96.81189750491606,117.14818139095652,36.54864603470604,26.303172574337474,10.237689666666666,-10.499827,9.251564,-0.651625454619837,-0.3000687485527112,0.6966656393374806,0.0776304843553135,2.1987796330764615e-07,0.08682162334837547,0.05481744252721743,0.08682162334837547
T077,L,T010,test,L17,L28,L29,12.703187002284032,7.2789293480570345,17.100453814816436,37.082570165157506,41.910881173936744,22.69751021811271,114.97144008188816,42.33104969999912,16.651047333333334,-10.399396,13.285359,0.05978104091986,-0.4623271992500422,-0.8846919169858793,0.0776304843553135,0.12231464887591514,0.08682162334837547,0.09558891885986803,0.12231464887591514
T077,L,T011,test,L18,L20,L29,13.092075118319977,13.536742025337485,25.552236956345897,52.181054100003365,47.87213315029853,16.630817558511463,147.29973404022778,16.069448401260807,10.819175999999999,-14.194796666666667,8.334514666666665,-0.6509326845678525,-0.23204787481106307,0.7228004039546172,2.1987796330764615e-07,0.06581058912447017,0.08682162334837547,0.05087747745026965,0.08682162334837547
T077,L,T012,test,L19,L21,L29,8.4739571815601,7.5903163382407195,10.395558441785127,26.459831961585948,31.713855182998756,46.05618438577326,80.44513292570873,53.49868268851803,19.238004666666665,-17.72812,11.603045,-0.9269357648386456,0.3465786200359606,0.14378229375331447,0.05980271714471196,0.0059043961625216005,0.08682162334837547,0.050842912218536346,0.08682162334837547
T077,L,T013,test,L19,L28,L29,9.137371262537055,7.2789293480570345,10.395558441785127,26.811859052379216,32.48800446963273,43.16045692131625,77.6694432502817,59.17009982840204,20.104765666666665,-13.761417666666667,11.981235666666668,0.9896207953270442,-0.049390856769530596,-0.1349489708143058,0.05980271714471196,0.12231464887591514,0.08682162334837547,0.08964632978966752,0.12231464887591514
T077,L,T014,test,L20,L26,L29,23.026180743332425,20.00322907315279,13.536742025337485,56.5661518418227,134.73522804965566,59.82795218305629,35.80615651957475,84.36589129736896,16.241065333333335,-22.813789,13.949817666666666,-0.6696289072763261,0.1560962487123556,0.7261068018396769,0.06581058912447017,0.06765938002833177,0.08682162334837547,0.0734305308337258,0.08682162334837547
T077,L,T015,test,L21,L26,L29,15.427214563318586,20.00322907315279,7.5903163382407195,43.0207599747121,52.39475763423682,116.50548940586114,19.850720641099798,43.64378995303902,18.657928,-24.497302666666666,15.487628666666666,-0.9199967592846968,0.16979114687490976,0.35323778018292196,0.0059043961625216005,0.06765938002833177,0.08682162334837547,0.05346179984640961,0.08682162334837547
