sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,unmapped_count,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T0100,L,T001,test,325,325,576,2,0,0,10704,False,,WARNING
T0100,L,T002,test,325,325,576,0,26226,1281,580717,False,,FAIL
T0100,L,T003,test,325,325,576,76,1104,0,1104,False,,FAIL
T0100,L,T004,test,325,325,576,0,32979,1317,580717,False,,FAIL
T0100,L,T005,test,325,325,576,0,0,0,2307,True,output\remesh_r24\raw\T0100_L\T005_remesh.ply,PASS
T0100,L,T006,test,325,325,576,3,0,0,12913,False,,WARNING
T0100,L,T007,test,325,325,576,11,5167,0,5167,False,,WARNING
T0100,L,T008,test,325,325,576,1,0,0,4969,False,,WARNING
T0100,L,T009,test,325,325,576,0,9805,0,9805,True,output\remesh_r24\raw\T0100_L\T009_remesh.ply,PASS
T0100,L,T010,test,325,325,576,73,0,0,892,False,,FAIL
T0100,L,T011,test,325,325,576,5,2569,0,2569,False,,WARNING
T0100,L,T012,test,325,325,576,4,0,0,1041,False,,WARNING
T0100,L,T013,test,325,325,576,32,0,0,2678,False,,WARNING
